,Regressor,Method,k,n_rep,EC,EC_vec_sd,EC_scalar_sd,MAE,MAE_sd,MAPE,MAPE_sd,MSqE,MSqE_sd,RMSqE,RMSqE_sd,R2,R2_sd
41,RF,intersection_union_all,5,50,0.22,0.02,NA,0.12,0.01,5891.48,454.61,0.04,0.01,0.2,0.01,0.83,0.02
42,Knn-H,ratio,5,50,0.85,0.14,0.03,0.06,0.01,2307.24,386.7,0.03,0.01,0.18,0.01,0.87,0.02
43,Knn-H,ratio-diff,5,50,0.14,0.14,0.03,0.06,0.01,2307.24,386.7,0.03,0.01,0.18,0.01,0.87,0.02
44,Knn-H,ratio-signed,5,50,0.85,0.14,0.03,0.06,0.01,2307.24,386.7,0.03,0.01,0.18,0.01,0.87,0.02
45,Knn-H,ratio-diff-signed,5,50,0.01,0.03,0,0.06,0.01,2307.24,386.7,0.03,0.01,0.18,0.01,0.87,0.02
46,Knn-H,intersection_union_sample,5,50,0.82,0.2,0.03,0.06,0.01,2307.24,386.7,0.03,0.01,0.18,0.01,0.87,0.02
47,Knn-H,intersection_union_all,5,50,0.1,0.03,NA,0.06,0.01,2307.24,386.7,0.03,0.01,0.18,0.01,0.87,0.02
48,Knn,ratio,5,50,0.84,0.16,0.03,0.24,0.01,10278.14,545.9,0.14,0,0.37,0.01,0.41,0.02
49,Knn,ratio-diff,5,50,0.13,0.15,0.03,0.24,0.01,10278.14,545.9,0.14,0,0.37,0.01,0.41,0.02
50,Knn,ratio-signed,5,50,0.84,0.16,0.03,0.24,0.01,10278.14,545.9,0.14,0,0.37,0.01,0.41,0.02
51,Knn,ratio-diff-signed,5,50,0.06,0.07,0.01,0.24,0.01,10278.14,545.9,0.14,0,0.37,0.01,0.41,0.02
52,Knn,intersection_union_sample,5,50,0.63,0.41,0.02,0.24,0.01,10278.14,545.9,0.14,0,0.37,0.01,0.41,0.02
53,Knn,intersection_union_all,5,50,0.22,0.02,NA,0.24,0.01,10278.14,545.9,0.14,0,0.37,0.01,0.41,0.02
54,SVR-H,ratio,5,50,0.71,0.16,0.05,0.25,0,12550,429.67,0.11,0.01,0.33,0.01,0.54,0.03
55,SVR-H,ratio-diff,5,50,0.21,0.13,0.04,0.25,0,12550,429.67,0.11,0.01,0.33,0.01,0.54,0.03
56,SVR-H,ratio-signed,5,50,0.64,0.27,0.07,0.25,0,12550,429.67,0.11,0.01,0.33,0.01,0.54,0.03
57,SVR-H,ratio-diff-signed,5,50,0.12,0.08,0.03,0.25,0,12550,429.67,0.11,0.01,0.33,0.01,0.54,0.03
58,SVR-H,intersection_union_sample,5,50,0.35,0.36,0.03,0.25,0,12550,429.67,0.11,0.01,0.33,0.01,0.54,0.03
59,SVR-H,intersection_union_all,5,50,0.24,0.02,NA,0.25,0,12550,429.67,0.11,0.01,0.33,0.01,0.54,0.03
60,SVR,ratio,5,50,0.72,0.16,0.05,0.23,0,9669.98,433.71,0.11,0,0.33,0,0.52,0.01
61,SVR,ratio-diff,5,50,0.2,0.13,0.04,0.23,0,9669.98,433.71,0.11,0,0.33,0,0.52,0.01
62,SVR,ratio-signed,5,50,0.66,0.26,0.06,0.23,0,9669.98,433.71,0.11,0,0.33,0,0.52,0.01
63,SVR,ratio-diff-signed,5,50,0.13,0.08,0.03,0.23,0,9669.98,433.71,0.11,0,0.33,0,0.52,0.01
64,SVR,intersection_union_sample,5,50,0.34,0.36,0.03,0.23,0,9669.98,433.71,0.11,0,0.33,0,0.52,0.01
65,SVR,intersection_union_all,5,50,0.2,0.01,NA,0.23,0,9669.98,433.71,0.11,0,0.33,0,0.52,0.01
