,Regressor,Method,k,n_rep,EC,EC_scalar_sd,EC_vec_sd,EC_median,EC_min,EC_max,EC_1%,EC_5%,EC_25%,EC_50%,EC_75%,EC_95%,EC_99%,MAE,MAE_sd,MAPE,MAPE_sd,MSqE,MSqE_sd,RMSqE,RMSqE_sd,R2,R2_sd
22.00,Lasso,intersection_union_sample,5.00,50.00,0.43,0.01,0.49,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.98,1.00,1.00,0.69,0.00,0.12,0.00,0.66,0.00,0.81,0.00,-0.01,0.00
23.00,Lasso,intersection_union_all,5.00,50.00,0.29,NA,0.00,0.29,0.28,0.31,0.28,0.29,0.29,0.29,0.29,0.30,0.30,0.69,0.00,0.12,0.00,0.66,0.00,0.81,0.00,-0.01,0.00
24.00,Lasso,negative_incon,5.00,50.00,0.16,0.00,0.73,-0.49,-0.50,1.00,-0.50,-0.50,-0.50,-0.49,0.98,1.00,1.00,0.69,0.00,0.12,0.00,0.66,0.00,0.81,0.00,-0.01,0.00
25.00,Lasso,positive_incon,5.00,50.00,1.06,0.01,0.85,0.74,0.61,4.79,0.61,0.61,0.62,0.74,0.77,2.76,4.75,0.69,0.00,0.12,0.00,0.66,0.00,0.81,0.00,-0.01,0.00
26.00,Lasso,intersection_union_distance,5.00,50.00,0.75,0.01,1.01,0.74,0.00,4.79,0.00,0.00,0.01,0.74,0.76,2.76,4.75,0.69,0.00,0.12,0.00,0.66,0.00,0.81,0.00,-0.01,0.00
27.00,Ridge-H,ratio,5.00,50.00,0.88,0.03,0.13,0.94,0.00,1.00,0.11,0.50,0.86,0.94,0.98,1.00,1.00,0.51,0.00,0.09,0.00,0.39,0.00,0.63,0.00,0.40,0.00
28.00,Ridge-H,ratio-diff,5.00,50.00,0.08,0.02,0.10,0.03,0.00,1.00,0.00,0.00,0.01,0.03,0.07,0.34,0.80,0.51,0.00,0.09,0.00,0.39,0.00,0.63,0.00,0.40,0.00
29.00,Ridge-H,ratio-signed,5.00,50.00,0.86,0.03,0.18,0.94,-1.00,1.00,-0.24,0.46,0.86,0.94,0.98,1.00,1.00,0.51,0.00,0.09,0.00,0.39,0.00,0.63,0.00,0.40,0.00
30.00,Ridge-H,ratio-diff-signed,5.00,50.00,0.06,0.02,0.06,0.03,-1.00,0.99,-0.43,0.00,0.01,0.03,0.07,0.28,0.64,0.51,0.00,0.09,0.00,0.39,0.00,0.63,0.00,0.40,0.00
31.00,Ridge-H,intersection_union_sample,5.00,50.00,0.45,0.02,0.44,0.46,0.00,1.00,0.00,0.00,0.00,0.46,0.93,0.99,1.00,0.51,0.00,0.09,0.00,0.39,0.00,0.63,0.00,0.40,0.00
32.00,Ridge-H,intersection_union_all,5.00,50.00,0.29,NA,0.01,0.29,0.27,0.32,0.28,0.28,0.29,0.29,0.29,0.30,0.30,0.51,0.00,0.09,0.00,0.39,0.00,0.63,0.00,0.40,0.00
33.00,Ridge-H,negative_incon,5.00,50.00,0.23,0.02,0.67,0.46,-0.50,1.00,-0.50,-0.50,-0.49,0.46,0.93,0.99,1.00,0.51,0.00,0.09,0.00,0.39,0.00,0.63,0.00,0.40,0.00
34.00,Ridge-H,positive_incon,5.00,50.00,0.77,0.00,0.67,0.55,0.00,3.65,0.01,0.05,0.26,0.55,1.12,2.08,2.85,0.51,0.00,0.09,0.00,0.39,0.00,0.63,0.00,0.40,0.00
35.00,Ridge-H,intersection_union_distance,5.00,50.00,0.56,0.01,0.75,0.08,0.00,3.65,0.00,0.00,0.02,0.08,1.02,2.06,2.85,0.51,0.00,0.09,0.00,0.39,0.00,0.63,0.00,0.40,0.00
36.00,Ridge,ratio,5.00,50.00,0.87,0.03,0.13,0.94,0.00,1.00,0.11,0.46,0.85,0.94,0.97,1.00,1.00,0.50,0.00,0.09,0.00,0.39,0.00,0.63,0.00,0.40,0.01
37.00,Ridge,ratio-diff,5.00,50.00,0.08,0.02,0.11,0.03,0.00,1.00,0.00,0.00,0.01,0.03,0.08,0.37,0.80,0.50,0.00,0.09,0.00,0.39,0.00,0.63,0.00,0.40,0.01
38.00,Ridge,ratio-signed,5.00,50.00,0.86,0.03,0.18,0.94,-1.00,1.00,-0.25,0.42,0.85,0.94,0.97,1.00,1.00,0.50,0.00,0.09,0.00,0.39,0.00,0.63,0.00,0.40,0.01
39.00,Ridge,ratio-diff-signed,5.00,50.00,0.06,0.02,0.07,0.03,-1.00,1.00,-0.46,0.00,0.01,0.03,0.07,0.31,0.70,0.50,0.00,0.09,0.00,0.39,0.00,0.63,0.00,0.40,0.01
40.00,Ridge,intersection_union_sample,5.00,50.00,0.45,0.02,0.44,0.40,0.00,1.00,0.00,0.00,0.00,0.40,0.93,0.99,1.00,0.50,0.00,0.09,0.00,0.39,0.00,0.63,0.00,0.40,0.01
41.00,Ridge,intersection_union_all,5.00,50.00,0.29,NA,0.01,0.29,0.27,0.32,0.27,0.28,0.29,0.29,0.29,0.30,0.31,0.50,0.00,0.09,0.00,0.39,0.00,0.63,0.00,0.40,0.01
42.00,Ridge,negative_incon,5.00,50.00,0.23,0.02,0.67,0.40,-0.50,1.00,-0.50,-0.50,-0.48,0.40,0.93,0.99,1.00,0.50,0.00,0.09,0.00,0.39,0.00,0.63,0.00,0.40,0.01
43.00,Ridge,positive_incon,5.00,50.00,0.76,0.00,0.67,0.55,0.00,3.63,0.01,0.05,0.26,0.55,1.11,2.10,2.84,0.50,0.00,0.09,0.00,0.39,0.00,0.63,0.00,0.40,0.01
44.00,Ridge,intersection_union_distance,5.00,50.00,0.56,0.01,0.75,0.08,0.00,3.63,0.00,0.00,0.03,0.08,1.01,2.07,2.84,0.50,0.00,0.09,0.00,0.39,0.00,0.63,0.00,0.40,0.01
45.00,RF-H,ratio,5.00,50.00,0.74,0.04,0.15,0.82,0.00,1.00,0.05,0.23,0.62,0.82,0.93,0.99,1.00,0.45,0.00,0.08,0.00,0.33,0.01,0.57,0.01,0.50,0.01
46.00,RF-H,ratio-diff,5.00,50.00,0.17,0.03,0.12,0.10,0.00,1.00,0.00,0.00,0.04,0.10,0.23,0.63,0.90,0.45,0.00,0.08,0.00,0.33,0.01,0.57,0.01,0.50,0.01
47.00,RF-H,ratio-signed,5.00,50.00,0.71,0.05,0.21,0.82,-1.00,1.00,-0.57,0.07,0.61,0.82,0.93,0.99,1.00,0.45,0.00,0.08,0.00,0.33,0.01,0.57,0.01,0.50,0.01
48.00,RF-H,ratio-diff-signed,5.00,50.00,0.13,0.03,0.07,0.09,-0.99,0.99,-0.75,0.00,0.03,0.09,0.20,0.51,0.80,0.45,0.00,0.08,0.00,0.33,0.01,0.57,0.01,0.50,0.01
49.00,RF-H,intersection_union_sample,5.00,50.00,0.38,0.03,0.38,0.13,0.00,1.00,0.00,0.00,0.00,0.13,0.81,0.98,1.00,0.45,0.00,0.08,0.00,0.33,0.01,0.57,0.01,0.50,0.01
50.00,RF-H,intersection_union_all,5.00,50.00,0.27,NA,0.01,0.27,0.25,0.34,0.25,0.26,0.27,0.27,0.28,0.29,0.32,0.45,0.00,0.08,0.00,0.33,0.01,0.57,0.01,0.50,0.01
51.00,RF-H,negative_incon,5.00,50.00,0.18,0.02,0.58,0.13,-0.50,1.00,-0.50,-0.49,-0.45,0.13,0.81,0.98,1.00,0.45,0.00,0.08,0.00,0.33,0.01,0.57,0.01,0.50,0.01
52.00,RF-H,positive_incon,5.00,50.00,0.66,0.01,0.58,0.47,0.00,3.47,0.01,0.04,0.20,0.47,1.00,1.78,2.65,0.45,0.00,0.08,0.00,0.33,0.01,0.57,0.01,0.50,0.01
