,Regressor,Method,k,n_rep,EC,EC_vec_sd,EC_scalar_sd,EC_median,EC_1%,EC_5%,EC_25%,EC_50%,EC_75%,EC_95%,EC_99%,EC_max,EC_min,MAE,MAE_sd,MAPE,MAPE_sd,MSqE,MSqE_sd,RMSqE,RMSqE_sd,R2,R2_sd,Abs_Err_Std,Abs_Err_Std_sd
0,LinReg,ratio,5,5,0.8503034933937417,0.12876066032010963,0.07154674376367574,0.9176715235260811,0.09150671384519442,0.4571408154594695,0.7944291190264486,0.9176715235260811,0.9809578940966626,1.0,1.0,1.0,0.01321402930902868,0.35586656894383045,0.003909095481530097,15319.100884574957,505.9707728950621,0.1762708672299471,0.0017608744651825491,0.4198412080545198,0.0020984243266508173,0.27477128911107485,0.007244740656751074,0.22455121335130512,0.005851498352620348
1,LinReg,ratio-diff,5,5,0.09550102716256771,0.10453509045213522,0.04624843748984946,0.042931479989281394,0.0,0.0,0.009612574797336647,0.042931479989281394,0.1145606243828023,0.3725511785407071,0.8323295446844634,0.9739166080871579,0.0,0.35586656894383045,0.003909095481530097,15319.100884574957,505.9707728950621,0.1762708672299471,0.0017608744651825491,0.4198412080545198,0.0020984243266508173,0.27477128911107485,0.007244740656751074,0.22455121335130512,0.005851498352620348
2,LinReg,ratio-signed,5,5,0.8344090963044579,0.17938244853139126,0.08063043539534921,0.9176715235260811,-0.45121045553693495,0.40587943237754015,0.7932138473330707,0.9176715235260811,0.9809578940966626,1.0,1.0,1.0,-0.863691981954195,0.35586656894383045,0.003909095481530097,15319.100884574957,505.9707728950621,0.1762708672299471,0.0017608744651825491,0.4198412080545198,0.0020984243266508173,0.27477128911107485,0.007244740656751074,0.22455121335130512,0.005851498352620348
3,LinReg,ratio-diff-signed,5,5,0.08309745311469503,0.10107664400441466,0.03903101117966907,0.040684642000143295,-0.3315175774345196,0.0,0.008154214384022147,0.040684642000143295,0.1067887323757372,0.3334244653777698,0.8323295446844634,0.9739166080871579,-0.682066305202998,0.35586656894383045,0.003909095481530097,15319.100884574957,505.9707728950621,0.1762708672299471,0.0017608744651825491,0.4198412080545198,0.0020984243266508173,0.27477128911107485,0.007244740656751074,0.22455121335130512,0.005851498352620348
4,LinReg,intersection_union_sample,5,5,0.4453078511514996,0.4284480679089677,0.044659180810617975,0.5012532240925774,0.0,0.0,0.0,0.5012532240925774,0.9126114295967009,1.0,1.0,1.0,0.0,0.35586656894383045,0.003909095481530097,15319.100884574957,505.9707728950621,0.1762708672299471,0.0017608744651825491,0.4198412080545198,0.0020984243266508173,0.27477128911107485,0.007244740656751074,0.22455121335130512,0.005851498352620348
5,LinReg,intersection_union_all,5,5,0.24310938674016871,0.011802636728382233,NA,0.24005751747209808,0.2282224340669804,0.2282224340669804,0.23560701922274668,0.24005751747209808,0.24576556059465846,0.27068394168141297,0.2768217809839792,0.2768217809839792,0.2282224340669804,0.35586656894383045,0.003909095481530097,15319.100884574957,505.9707728950621,0.1762708672299471,0.0017608744651825491,0.4198412080545198,0.0020984243266508173,0.27477128911107485,0.007244740656751074,0.22455121335130512,0.005851498352620348
6,LinReg,negative_incon,5,5,0.23115817589077992,0.6533574104438272,0.03780111028252077,0.5012532240925774,-0.5,-0.5,-0.4811476908047996,0.5012532240925774,0.9126114295967009,1.0,1.0,1.0,-0.5,0.35586656894383045,0.003909095481530097,15319.100884574957,505.9707728950621,0.1762708672299471,0.0017608744651825491,0.4198412080545198,0.0020984243266508173,0.27477128911107485,0.007244740656751074,0.22455121335130512,0.005851498352620348
7,LinReg,positive_incon,5,5,0.5531369102580943,0.4622596295132814,0.00718314062972485,0.4037061592735329,0.009278735994015408,0.054370478997485955,0.16386977857551716,0.4037061592735329,0.9099767228437797,1.4932393985946646,1.636160746369715,1.685986335706472,0.0021771261260689068,0.35586656894383045,0.003909095481530097,15319.100884574957,505.9707728950621,0.1762708672299471,0.0017608744651825491,0.4198412080545198,0.0020984243266508173,0.27477128911107485,0.007244740656751074,0.22455121335130512,0.005851498352620348
8,LinReg,intersection_union_distance,5,5,0.43343219368289604,0.5293911345031869,0.01034233310595902,0.08249983988988985,0.0,0.0,0.023828014971854827,0.08249983988988985,0.9099767228437797,1.4932393985946646,1.636160746369715,1.685986335706472,0.0,0.35586656894383045,0.003909095481530097,15319.100884574957,505.9707728950621,0.1762708672299471,0.0017608744651825491,0.4198412080545198,0.0020984243266508173,0.27477128911107485,0.007244740656751074,0.22455121335130512,0.005851498352620348
9,Lasso-H,ratio,5,5,0.906761972994617,0.09430526370376353,0.04583047082241476,0.9430759361988279,0.16978688338296483,0.7004371592493059,0.8794949773509682,0.9430759361988279,0.9907546137235954,1.0,1.0,1.0,0.03250470055948567,0.37362611085932085,0.0039205067478909755,15647.756292252272,529.6943300969084,0.17668621600240428,0.0025650025846942217,0.42032992763962523,0.0030564025816965704,0.27306242559010807,0.010553153491313359,0.19399843134483594,0.008415512738385934
10,Lasso-H,ratio-diff,5,5,0.05640550438194552,0.07605380396325453,0.028532602391288426,0.02929586517695994,0.0,0.0,0.004644161687564329,0.02929586517695994,0.06411565538654022,0.17617074683819706,0.709713135281617,0.9370371862871476,0.0,0.37362611085932085,0.0039205067478909755,15647.756292252272,529.6943300969084,0.17668621600240428,0.0025650025846942217,0.42032992763962523,0.0030564025816965704,0.27306242559010807,0.010553153491313359,0.19399843134483594,0.008415512738385934
