,Regressor,Method,k,n_rep,EC,EC_vec_sd,EC_scalar_sd,EC_median,EC_1%,EC_5%,EC_25%,EC_50%,EC_75%,EC_95%,EC_99%,EC_max,EC_min,MAE,MAE_sd,MAPE,MAPE_sd,MSqE,MSqE_sd,RMSqE,RMSqE_sd,R2,R2_sd,Abs_Err_Std,Abs_Err_Std_sd
10.00,Lasso-H,ratio-diff,5.00,5.00,0.16,0.12,0.07,0.09,0.00,0.00,0.02,0.09,0.22,0.56,0.94,0.97,0.00,3.06,0.17,0.17,0.01,13.83,1.20,3.72,0.16,0.75,0.02,2.15,0.04
11.00,Lasso-H,ratio-signed,5.00,5.00,0.71,0.25,0.14,0.84,-0.88,-0.25,0.63,0.84,0.97,1.00,1.00,1.00,-0.94,3.06,0.17,0.17,0.01,13.83,1.20,3.72,0.16,0.75,0.02,2.15,0.04
12.00,Lasso-H,ratio-diff-signed,5.00,5.00,0.08,0.09,0.05,0.07,-0.84,-0.35,0.00,0.07,0.17,0.44,0.78,0.97,-0.97,3.06,0.17,0.17,0.01,13.83,1.20,3.72,0.16,0.75,0.02,2.15,0.04
13.00,Lasso-H,intersection_union_sample,5.00,5.00,0.59,0.35,0.09,0.76,0.00,0.00,0.00,0.76,0.93,1.00,1.00,1.00,0.00,3.06,0.17,0.17,0.01,13.83,1.20,3.72,0.16,0.75,0.02,2.15,0.04
14.00,Lasso-H,intersection_union_all,5.00,5.00,0.56,0.06,NA,0.55,0.49,0.49,0.53,0.55,0.57,0.69,0.71,0.71,0.49,3.06,0.17,0.17,0.01,13.83,1.20,3.72,0.16,0.75,0.02,2.15,0.04
15.00,Lasso-H,negative_incon,5.00,5.00,0.49,0.50,0.10,0.76,-0.50,-0.49,-0.03,0.76,0.93,1.00,1.00,1.00,-0.50,3.06,0.17,0.17,0.01,13.83,1.20,3.72,0.16,0.75,0.02,2.15,0.04
16.00,Lasso-H,positive_incon,5.00,5.00,3.47,3.14,0.14,2.90,0.05,0.61,1.80,2.90,3.91,9.16,18.24,19.53,0.02,3.06,0.17,0.17,0.01,13.83,1.20,3.72,0.16,0.75,0.02,2.15,0.04
17.00,Lasso-H,intersection_union_distance,5.00,5.00,1.73,3.21,0.27,0.74,0.00,0.00,0.21,0.74,1.76,5.46,18.24,19.53,0.00,3.06,0.17,0.17,0.01,13.83,1.20,3.72,0.16,0.75,0.02,2.15,0.04
18.00,Ridge-H,ratio,5.00,5.00,0.73,0.15,0.13,0.80,0.03,0.18,0.57,0.80,0.95,1.00,1.00,1.00,0.02,2.66,0.19,0.14,0.01,12.34,1.80,3.50,0.25,0.78,0.03,2.32,0.18
19.00,Ridge-H,ratio-diff,5.00,5.00,0.19,0.13,0.10,0.11,0.00,0.00,0.03,0.11,0.28,0.70,0.94,0.96,0.00,2.66,0.19,0.14,0.01,12.34,1.80,3.50,0.25,0.78,0.03,2.32,0.18
20.00,Ridge-H,ratio-signed,5.00,5.00,0.57,0.34,0.20,0.77,-0.98,-0.69,0.46,0.77,0.94,1.00,1.00,1.00,-0.99,2.66,0.19,0.14,0.01,12.34,1.80,3.50,0.25,0.78,0.03,2.32,0.18
21.00,Ridge-H,ratio-diff-signed,5.00,5.00,0.07,0.11,0.06,0.06,-0.91,-0.51,0.00,0.06,0.20,0.54,0.82,0.95,-0.96,2.66,0.19,0.14,0.01,12.34,1.80,3.50,0.25,0.78,0.03,2.32,0.18
22.00,Ridge-H,intersection_union_sample,5.00,5.00,0.46,0.35,0.11,0.54,0.00,0.00,0.00,0.54,0.89,1.00,1.00,1.00,0.00,2.66,0.19,0.14,0.01,12.34,1.80,3.50,0.25,0.78,0.03,2.32,0.18
23.00,Ridge-H,intersection_union_all,5.00,5.00,0.45,0.06,NA,0.43,0.36,0.36,0.41,0.43,0.47,0.57,0.64,0.64,0.36,2.66,0.19,0.14,0.01,12.34,1.80,3.50,0.25,0.78,0.03,2.32,0.18
24.00,Ridge-H,negative_incon,5.00,5.00,0.31,0.52,0.10,0.54,-0.50,-0.50,-0.38,0.54,0.89,1.00,1.00,1.00,-0.50,2.66,0.19,0.14,0.01,12.34,1.80,3.50,0.25,0.78,0.03,2.32,0.18
25.00,Ridge-H,positive_incon,5.00,5.00,3.31,3.07,0.19,2.44,0.15,0.30,1.18,2.44,4.17,10.57,14.48,16.60,0.04,2.66,0.19,0.14,0.01,12.34,1.80,3.50,0.25,0.78,0.03,2.32,0.18
26.00,Ridge-H,intersection_union_distance,5.00,5.00,2.04,2.99,0.31,0.96,0.00,0.00,0.30,0.96,2.04,9.99,14.48,16.60,0.00,2.66,0.19,0.14,0.01,12.34,1.80,3.50,0.25,0.78,0.03,2.32,0.18
27.00,RF-H,ratio,5.00,5.00,0.71,0.13,0.13,0.74,0.06,0.17,0.54,0.74,0.94,1.00,1.00,1.00,0.04,2.90,0.35,0.16,0.02,16.00,4.28,3.96,0.55,0.71,0.08,2.74,0.49
28.00,RF-H,ratio-diff,5.00,5.00,0.20,0.12,0.09,0.15,0.00,0.00,0.03,0.15,0.30,0.71,0.89,0.93,0.00,2.90,0.35,0.16,0.02,16.00,4.28,3.96,0.55,0.71,0.08,2.74,0.49
29.00,RF-H,ratio-signed,5.00,5.00,0.57,0.31,0.20,0.72,-0.87,-0.62,0.46,0.72,0.94,1.00,1.00,1.00,-0.99,2.90,0.35,0.16,0.02,16.00,4.28,3.96,0.55,0.71,0.08,2.74,0.49
30.00,RF-H,ratio-diff-signed,5.00,5.00,0.12,0.12,0.07,0.09,-0.78,-0.36,0.00,0.09,0.25,0.64,0.89,0.93,-0.85,2.90,0.35,0.16,0.02,16.00,4.28,3.96,0.55,0.71,0.08,2.74,0.49
31.00,RF-H,intersection_union_sample,5.00,5.00,0.48,0.34,0.11,0.56,0.00,0.00,0.00,0.56,0.87,1.00,1.00,1.00,0.00,2.90,0.35,0.16,0.02,16.00,4.28,3.96,0.55,0.71,0.08,2.74,0.49
32.00,RF-H,intersection_union_all,5.00,5.00,0.45,0.08,NA,0.42,0.37,0.37,0.41,0.42,0.46,0.65,0.65,0.65,0.37,2.90,0.35,0.16,0.02,16.00,4.28,3.96,0.55,0.71,0.08,2.74,0.49
33.00,RF-H,negative_incon,5.00,5.00,0.34,0.50,0.10,0.56,-0.50,-0.50,-0.33,0.56,0.87,1.00,1.00,1.00,-0.50,2.90,0.35,0.16,0.02,16.00,4.28,3.96,0.55,0.71,0.08,2.74,0.49
34.00,RF-H,positive_incon,5.00,5.00,3.38,2.99,0.41,2.49,0.12,0.38,1.55,2.49,4.18,11.85,15.36,18.34,0.12,2.90,0.35,0.16,0.02,16.00,4.28,3.96,0.55,0.71,0.08,2.74,0.49
35.00,RF-H,intersection_union_distance,5.00,5.00,2.21,2.70,0.48,1.09,0.00,0.00,0.32,1.09,3.03,7.80,15.36,18.34,0.00,2.90,0.35,0.16,0.02,16.00,4.28,3.96,0.55,0.71,0.08,2.74,0.49
36.00,Knn-H,ratio,5.00,5.00,0.75,0.14,0.12,0.83,0.02,0.16,0.59,0.83,1.00,1.00,1.00,1.00,0.01,3.39,0.23,0.18,0.02,19.97,3.80,4.45,0.42,0.64,0.07,2.93,0.40
37.00,Knn-H,ratio-diff,5.00,5.00,0.18,0.12,0.09,0.09,0.00,0.00,0.00,0.09,0.26,0.73,0.96,0.98,0.00,3.39,0.23,0.18,0.02,19.97,3.80,4.45,0.42,0.64,0.07,2.93,0.40
38.00,Knn-H,ratio-signed,5.00,5.00,0.69,0.23,0.15,0.82,-0.87,-0.28,0.53,0.82,1.00,1.00,1.00,1.00,-0.88,3.39,0.23,0.18,0.02,19.97,3.80,4.45,0.42,0.64,0.07,2.93,0.40
39.00,Knn-H,ratio-diff-signed,5.00,5.00,0.10,0.13,0.07,0.02,-0.84,-0.31,0.00,0.02,0.18,0.59,0.89,0.96,-0.98,3.39,0.23,0.18,0.02,19.97,3.80,4.45,0.42,0.64,0.07,2.93,0.40
40.00,Knn-H,intersection_union_sample,5.00,5.00,0.53,0.37,0.09,0.69,0.00,0.00,0.00,0.69,1.00,1.00,1.00,1.00,0.00,3.39,0.23,0.18,0.02,19.97,3.80,4.45,0.42,0.64,0.07,2.93,0.40
41.00,Knn-H,intersection_union_all,5.00,5.00,0.43,0.06,NA,0.41,0.37,0.37,0.40,0.41,0.43,0.61,0.63,0.63,0.37,3.39,0.23,0.18,0.02,19.97,3.80,4.45,0.42,0.64,0.07,2.93,0.40
42.00,Knn-H,negative_incon,5.00,5.00,0.41,0.55,0.08,0.69,-0.50,-0.50,-0.27,0.69,1.00,1.00,1.00,1.00,-0.50,3.39,0.23,0.18,0.02,19.97,3.80,4.45,0.42,0.64,0.07,2.93,0.40
43.00,Knn-H,positive_incon,5.00,5.00,4.20,4.54,0.27,3.03,0.10,0.35,1.49,3.03,4.87,10.23,25.16,32.59,0.10,3.39,0.23,0.18,0.02,19.97,3.80,4.45,0.42,0.64,0.07,2.93,0.40
44.00,Knn-H,intersection_union_distance,5.00,5.00,2.72,4.73,0.38,0.93,0.00,0.00,0.00,0.93,2.84,10.23,25.16,32.59,0.00,3.39,0.23,0.18,0.02,19.97,3.80,4.45,0.42,0.64,0.07,2.93,0.40
