,Regressor,Method,k,n_rep,EC,EC_vec_sd,EC_scalar_sd,EC_median,EC_1%,EC_5%,EC_25%,EC_50%,EC_75%,EC_95%,EC_99%,EC_max,EC_min,MAE,MAE_sd,MAPE,MAPE_sd,MSqE,MSqE_sd,RMSqE,RMSqE_sd,R2,R2_sd,Abs_Err_Std,Abs_Err_Std_sd
0.00,LinReg,ratio,5.00,5.00,0.70,0.18,0.14,0.80,0.04,0.11,0.53,0.80,0.95,1.00,1.00,1.00,0.03,2.80,0.20,0.15,0.01,13.33,2.34,3.64,0.31,0.76,0.04,2.36,0.27
1.00,LinReg,ratio-diff,5.00,5.00,0.22,0.16,0.10,0.11,0.00,0.00,0.02,0.11,0.31,0.80,0.92,0.95,0.00,2.80,0.20,0.15,0.01,13.33,2.34,3.64,0.31,0.76,0.04,2.36,0.27
2.00,LinReg,ratio-signed,5.00,5.00,0.57,0.31,0.20,0.78,-0.88,-0.58,0.36,0.78,0.95,1.00,1.00,1.00,-0.99,2.80,0.20,0.15,0.01,13.33,2.34,3.64,0.31,0.76,0.04,2.36,0.27
3.00,LinReg,ratio-diff-signed,5.00,5.00,0.08,0.11,0.06,0.06,-0.91,-0.60,0.00,0.06,0.20,0.72,0.86,0.92,-0.95,2.80,0.20,0.15,0.01,13.33,2.34,3.64,0.31,0.76,0.04,2.36,0.27
4.00,LinReg,intersection_union_sample,5.00,5.00,0.43,0.37,0.10,0.40,0.00,0.00,0.00,0.40,0.87,1.00,1.00,1.00,0.00,2.80,0.20,0.15,0.01,13.33,2.34,3.64,0.31,0.76,0.04,2.36,0.27
5.00,LinReg,intersection_union_all,5.00,5.00,0.40,0.06,NA,0.38,0.32,0.32,0.36,0.38,0.42,0.53,0.59,0.59,0.32,2.80,0.20,0.15,0.01,13.33,2.34,3.64,0.31,0.76,0.04,2.36,0.27
6.00,LinReg,negative_incon,5.00,5.00,0.27,0.52,0.10,0.40,-0.50,-0.50,-0.37,0.40,0.87,1.00,1.00,1.00,-0.50,2.80,0.20,0.15,0.01,13.33,2.34,3.64,0.31,0.76,0.04,2.36,0.27
7.00,LinReg,positive_incon,5.00,5.00,3.66,3.08,0.29,2.94,0.08,0.31,1.38,2.94,4.62,10.73,14.87,20.87,0.06,2.80,0.20,0.15,0.01,13.33,2.34,3.64,0.31,0.76,0.04,2.36,0.27
8.00,LinReg,intersection_union_distance,5.00,5.00,2.42,3.12,0.39,1.15,0.00,0.00,0.35,1.15,3.30,10.02,14.87,20.87,0.00,2.80,0.20,0.15,0.01,13.33,2.34,3.64,0.31,0.76,0.04,2.36,0.27
9.00,Lasso-H,ratio,5.00,5.00,0.77,0.14,0.11,0.84,0.03,0.28,0.64,0.84,0.97,1.00,1.00,1.00,0.01,3.06,0.17,0.17,0.01,13.83,1.20,3.72,0.16,0.75,0.02,2.15,0.04
