,Regressor,Method,k,n_rep,EC,EC_scalar_sd,EC_vec_sd,EC_median,EC_min,EC_max,EC_1%,EC_5%,EC_25%,EC_50%,EC_75%,EC_95%,EC_99%,MAE,MAE_sd,MAPE,MAPE_sd,MSqE,MSqE_sd,RMSqE,RMSqE_sd,R2,R2_sd
25.00,Lasso,positive_incon,5.00,50.00,3.45,0.01,2.82,2.77,0.02,14.10,0.09,0.45,1.72,2.77,4.25,11.69,13.50,2.33,0.01,0.14,0.00,7.24,0.06,2.69,0.01,0.88,0.00
26.00,Lasso,intersection_union_distance,5.00,50.00,2.27,0.01,3.42,0.05,0.00,14.10,0.00,0.00,0.02,0.05,4.23,11.69,13.50,2.33,0.01,0.14,0.00,7.24,0.06,2.69,0.01,0.88,0.00
27.00,Ridge-H,ratio,5.00,50.00,0.93,0.02,0.09,0.97,0.00,1.00,0.38,0.75,0.93,0.97,0.99,1.00,1.00,2.55,0.03,0.14,0.00,10.31,0.20,3.21,0.03,0.82,0.00
28.00,Ridge-H,ratio-diff,5.00,50.00,0.04,0.01,0.06,0.02,0.00,1.00,0.00,0.00,0.01,0.02,0.04,0.15,0.45,2.55,0.03,0.14,0.00,10.31,0.20,3.21,0.03,0.82,0.00
29.00,Ridge-H,ratio-signed,5.00,50.00,0.93,0.02,0.10,0.97,-1.00,1.00,0.33,0.74,0.93,0.97,0.99,1.00,1.00,2.55,0.03,0.14,0.00,10.31,0.20,3.21,0.03,0.82,0.00
30.00,Ridge-H,ratio-diff-signed,5.00,50.00,0.04,0.01,0.04,0.02,-1.00,1.00,0.00,0.00,0.01,0.02,0.04,0.14,0.39,2.55,0.03,0.14,0.00,10.31,0.20,3.21,0.03,0.82,0.00
31.00,Ridge-H,intersection_union_sample,5.00,50.00,0.45,0.01,0.46,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.95,0.99,1.00,2.55,0.03,0.14,0.00,10.31,0.20,3.21,0.03,0.82,0.00
32.00,Ridge-H,intersection_union_all,5.00,50.00,0.23,NA,0.00,0.23,0.22,0.25,0.23,0.23,0.23,0.23,0.24,0.24,0.25,2.55,0.03,0.14,0.00,10.31,0.20,3.21,0.03,0.82,0.00
33.00,Ridge-H,negative_incon,5.00,50.00,0.21,0.01,0.70,-0.30,-0.50,1.00,-0.50,-0.50,-0.49,-0.30,0.95,0.99,1.00,2.55,0.03,0.14,0.00,10.31,0.20,3.21,0.03,0.82,0.00
34.00,Ridge-H,positive_incon,5.00,50.00,4.09,0.03,3.78,2.92,0.00,26.05,0.11,0.34,1.34,2.92,5.60,13.71,15.40,2.55,0.03,0.14,0.00,10.31,0.20,3.21,0.03,0.82,0.00
35.00,Ridge-H,intersection_union_distance,5.00,50.00,3.18,0.04,4.21,0.32,0.00,26.05,0.00,0.01,0.08,0.32,5.54,13.63,15.33,2.55,0.03,0.14,0.00,10.31,0.20,3.21,0.03,0.82,0.00
36.00,Ridge,ratio,5.00,50.00,0.93,0.02,0.09,0.97,0.00,1.00,0.35,0.74,0.93,0.97,0.99,1.00,1.00,2.54,0.03,0.14,0.00,10.40,0.21,3.22,0.03,0.82,0.00
37.00,Ridge,ratio-diff,5.00,50.00,0.04,0.01,0.07,0.02,0.00,1.00,0.00,0.00,0.01,0.02,0.04,0.15,0.48,2.54,0.03,0.14,0.00,10.40,0.21,3.22,0.03,0.82,0.00
38.00,Ridge,ratio-signed,5.00,50.00,0.93,0.02,0.11,0.97,-1.00,1.00,0.29,0.74,0.93,0.97,0.99,1.00,1.00,2.54,0.03,0.14,0.00,10.40,0.21,3.22,0.03,0.82,0.00
39.00,Ridge,ratio-diff-signed,5.00,50.00,0.04,0.01,0.05,0.02,-1.00,1.00,0.00,0.00,0.01,0.02,0.04,0.14,0.41,2.54,0.03,0.14,0.00,10.40,0.21,3.22,0.03,0.82,0.00
40.00,Ridge,intersection_union_sample,5.00,50.00,0.45,0.01,0.46,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.95,0.99,1.00,2.54,0.03,0.14,0.00,10.40,0.21,3.22,0.03,0.82,0.00
41.00,Ridge,intersection_union_all,5.00,50.00,0.23,NA,0.00,0.23,0.22,0.25,0.22,0.22,0.23,0.23,0.23,0.24,0.24,2.54,0.03,0.14,0.00,10.40,0.21,3.22,0.03,0.82,0.00
42.00,Ridge,negative_incon,5.00,50.00,0.21,0.01,0.70,-0.28,-0.50,1.00,-0.50,-0.50,-0.49,-0.28,0.95,0.99,1.00,2.54,0.03,0.14,0.00,10.40,0.21,3.22,0.03,0.82,0.00
43.00,Ridge,positive_incon,5.00,50.00,4.09,0.03,3.82,2.89,0.00,26.81,0.10,0.33,1.31,2.89,5.59,13.78,15.53,2.54,0.03,0.14,0.00,10.40,0.21,3.22,0.03,0.82,0.00
44.00,Ridge,intersection_union_distance,5.00,50.00,3.19,0.04,4.24,0.33,0.00,26.81,0.00,0.01,0.08,0.33,5.52,13.69,15.41,2.54,0.03,0.14,0.00,10.40,0.21,3.22,0.03,0.82,0.00
45.00,RF-H,ratio,5.00,50.00,0.75,0.06,0.16,0.84,0.00,1.00,0.04,0.19,0.64,0.84,0.94,0.99,1.00,2.04,0.09,0.12,0.01,6.21,0.42,2.49,0.08,0.89,0.01
46.00,RF-H,ratio-diff,5.00,50.00,0.17,0.04,0.14,0.09,0.00,1.00,0.00,0.00,0.03,0.09,0.22,0.68,0.93,2.04,0.09,0.12,0.01,6.21,0.42,2.49,0.08,0.89,0.01
47.00,RF-H,ratio-signed,5.00,50.00,0.70,0.07,0.25,0.83,-1.00,1.00,-0.72,-0.10,0.62,0.83,0.94,0.99,1.00,2.04,0.09,0.12,0.01,6.21,0.42,2.49,0.08,0.89,0.01
48.00,RF-H,ratio-diff-signed,5.00,50.00,0.11,0.02,0.08,0.07,-1.00,1.00,-0.85,-0.20,0.02,0.07,0.18,0.56,0.87,2.04,0.09,0.12,0.01,6.21,0.42,2.49,0.08,0.89,0.01
49.00,RF-H,intersection_union_sample,5.00,50.00,0.39,0.03,0.40,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.88,0.99,1.00,2.04,0.09,0.12,0.01,6.21,0.42,2.49,0.08,0.89,0.01
50.00,RF-H,intersection_union_all,5.00,50.00,0.36,NA,0.02,0.36,0.32,0.47,0.33,0.34,0.35,0.36,0.37,0.39,0.41,2.04,0.09,0.12,0.01,6.21,0.42,2.49,0.08,0.89,0.01
51.00,RF-H,negative_incon,5.00,50.00,0.19,0.03,0.60,-0.04,-0.50,1.00,-0.50,-0.49,-0.44,-0.04,0.88,0.99,1.00,2.04,0.09,0.12,0.01,6.21,0.42,2.49,0.08,0.89,0.01
52.00,RF-H,positive_incon,5.00,50.00,2.82,0.11,2.12,2.32,0.00,12.46,0.05,0.24,1.08,2.32,3.93,7.60,8.46,2.04,0.09,0.12,0.01,6.21,0.42,2.49,0.08,0.89,0.01
53.00,RF-H,intersection_union_distance,5.00,50.00,1.90,0.09,2.35,0.74,0.00,12.46,0.00,0.03,0.25,0.74,2.69,7.60,8.46,2.04,0.09,0.12,0.01,6.21,0.42,2.49,0.08,0.89,0.01
54.00,RF,ratio,5.00,50.00,0.82,0.04,0.16,0.91,0.00,1.00,0.06,0.29,0.75,0.91,0.97,1.00,1.00,2.15,0.05,0.13,0.00,6.41,0.29,2.53,0.06,0.89,0.00
55.00,RF,ratio-diff,5.00,50.00,0.12,0.03,0.13,0.05,0.00,1.00,0.00,0.00,0.02,0.05,0.14,0.55,0.88,2.15,0.05,0.13,0.00,6.41,0.29,2.53,0.06,0.89,0.00
56.00,RF,ratio-signed,5.00,50.00,0.79,0.04,0.23,0.91,-1.00,1.00,-0.59,0.12,0.75,0.91,0.97,1.00,1.00,2.15,0.05,0.13,0.00,6.41,0.29,2.53,0.06,0.89,0.00
57.00,RF,ratio-diff-signed,5.00,50.00,0.08,0.02,0.07,0.04,-1.00,1.00,-0.76,0.00,0.01,0.04,0.12,0.45,0.79,2.15,0.05,0.13,0.00,6.41,0.29,2.53,0.06,0.89,0.00
58.00,RF,intersection_union_sample,5.00,50.00,0.43,0.03,0.42,0.26,0.00,1.00,0.00,0.00,0.00,0.26,0.92,0.99,1.00,2.15,0.05,0.13,0.00,6.41,0.29,2.53,0.06,0.89,0.00
59.00,RF,intersection_union_all,5.00,50.00,0.29,NA,0.01,0.29,0.26,0.33,0.27,0.27,0.28,0.29,0.29,0.30,0.32,2.15,0.05,0.13,0.00,6.41,0.29,2.53,0.06,0.89,0.00
60.00,RF,negative_incon,5.00,50.00,0.22,0.02,0.63,0.26,-0.50,1.00,-0.50,-0.50,-0.47,0.26,0.92,0.99,1.00,2.15,0.05,0.13,0.00,6.41,0.29,2.53,0.06,0.89,0.00
61.00,RF,positive_incon,5.00,50.00,3.22,0.06,2.58,2.46,0.00,13.53,0.07,0.27,1.16,2.46,4.84,8.20,10.41,2.15,0.05,0.13,0.00,6.41,0.29,2.53,0.06,0.89,0.00
62.00,RF,intersection_union_distance,5.00,50.00,2.39,0.07,2.99,0.56,0.00,13.53,0.00,0.02,0.15,0.56,4.83,8.20,10.41,2.15,0.05,0.13,0.00,6.41,0.29,2.53,0.06,0.89,0.00
63.00,Knn-H,ratio,5.00,50.00,0.80,0.04,0.14,0.91,0.00,1.00,0.04,0.23,0.70,0.91,1.00,1.00,1.00,4.18,0.05,0.23,0.00,28.04,0.59,5.30,0.06,0.52,0.01
64.00,Knn-H,ratio-diff,5.00,50.00,0.14,0.02,0.12,0.05,0.00,1.00,0.00,0.00,0.00,0.05,0.18,0.63,0.92,4.18,0.05,0.23,0.00,28.04,0.59,5.30,0.06,0.52,0.01
65.00,Knn-H,ratio-signed,5.00,50.00,0.76,0.04,0.22,0.91,-1.00,1.00,-0.66,-0.03,0.69,0.91,1.00,1.00,1.00,4.18,0.05,0.23,0.00,28.04,0.59,5.30,0.06,0.52,0.01
66.00,Knn-H,ratio-diff-signed,5.00,50.00,0.08,0.02,0.10,0.03,-1.00,1.00,-0.84,-0.08,0.00,0.03,0.14,0.50,0.83,4.18,0.05,0.23,0.00,28.04,0.59,5.30,0.06,0.52,0.01
67.00,Knn-H,intersection_union_sample,5.00,50.00,0.30,0.02,0.40,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.82,1.00,1.00,4.18,0.05,0.23,0.00,28.04,0.59,5.30,0.06,0.52,0.01
68.00,Knn-H,intersection_union_all,5.00,50.00,0.22,NA,0.01,0.22,0.20,0.25,0.20,0.21,0.21,0.22,0.22,0.22,0.24,4.18,0.05,0.23,0.00,28.04,0.59,5.30,0.06,0.52,0.01
69.00,Knn-H,negative_incon,5.00,50.00,0.03,0.01,0.60,-0.38,-0.50,1.00,-0.50,-0.50,-0.49,-0.38,0.82,1.00,1.00,4.18,0.05,0.23,0.00,28.04,0.59,5.30,0.06,0.52,0.01
70.00,Knn-H,positive_incon,5.00,50.00,6.64,0.07,5.25,5.29,0.00,37.85,0.11,0.60,2.61,5.29,9.27,17.10,24.93,4.18,0.05,0.23,0.00,28.04,0.59,5.30,0.06,0.52,0.01
71.00,Knn-H,intersection_union_distance,5.00,50.00,5.40,0.09,5.68,3.66,0.00,37.85,0.00,0.00,0.51,3.66,8.36,17.09,24.93,4.18,0.05,0.23,0.00,28.04,0.59,5.30,0.06,0.52,0.01
72.00,Knn,ratio,5.00,50.00,0.82,0.03,0.15,0.92,0.00,1.00,0.06,0.27,0.74,0.92,0.99,1.00,1.00,4.46,0.05,0.25,0.00,32.16,0.72,5.67,0.06,0.45,0.01
73.00,Knn,ratio-diff,5.00,50.00,0.12,0.02,0.12,0.04,0.00,1.00,0.00,0.00,0.00,0.04,0.15,0.58,0.89,4.46,0.05,0.25,0.00,32.16,0.72,5.67,0.06,0.45,0.01
74.00,Knn,ratio-signed,5.00,50.00,0.79,0.04,0.22,0.92,-1.00,1.00,-0.60,0.06,0.73,0.92,0.99,1.00,1.00,4.46,0.05,0.25,0.00,32.16,0.72,5.67,0.06,0.45,0.01
75.00,Knn,ratio-diff-signed,5.00,50.00,0.08,0.01,0.09,0.03,-1.00,1.00,-0.79,0.00,0.00,0.03,0.12,0.45,0.81,4.46,0.05,0.25,0.00,32.16,0.72,5.67,0.06,0.45,0.01
76.00,Knn,intersection_union_sample,5.00,50.00,0.30,0.01,0.41,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.85,1.00,1.00,4.46,0.05,0.25,0.00,32.16,0.72,5.67,0.06,0.45,0.01
77.00,Knn,intersection_union_all,5.00,50.00,0.23,NA,0.00,0.23,0.22,0.26,0.22,0.23,0.23,0.23,0.23,0.24,0.25,4.46,0.05,0.25,0.00,32.16,0.72,5.67,0.06,0.45,0.01
78.00,Knn,negative_incon,5.00,50.00,0.03,0.01,0.61,-0.40,-0.50,1.00,-0.50,-0.50,-0.49,-0.40,0.85,1.00,1.00,4.46,0.05,0.25,0.00,32.16,0.72,5.67,0.06,0.45,0.01
79.00,Knn,positive_incon,5.00,50.00,7.07,0.08,5.47,5.70,0.00,30.72,0.17,0.63,2.33,5.70,10.37,17.81,21.64,4.46,0.05,0.25,0.00,32.16,0.72,5.67,0.06,0.45,0.01
80.00,Knn,intersection_union_distance,5.00,50.00,5.56,0.08,5.90,3.41,0.00,30.72,0.00,0.00,0.46,3.41,9.21,17.81,21.64,4.46,0.05,0.25,0.00,32.16,0.72,5.67,0.06,0.45,0.01
81.00,SVR-H,ratio,5.00,50.00,0.91,0.02,0.12,0.97,0.00,1.00,0.18,0.61,0.91,0.97,0.99,1.00,1.00,3.10,0.02,0.17,0.00,15.24,0.16,3.90,0.02,0.74,0.00
82.00,SVR-H,ratio-diff,5.00,50.00,0.05,0.01,0.09,0.02,0.00,1.00,0.00,0.00,0.01,0.02,0.04,0.24,0.70,3.10,0.02,0.17,0.00,15.24,0.16,3.90,0.02,0.74,0.00
83.00,SVR-H,ratio-signed,5.00,50.00,0.90,0.02,0.17,0.97,-1.00,1.00,-0.21,0.58,0.91,0.97,0.99,1.00,1.00,3.10,0.02,0.17,0.00,15.24,0.16,3.90,0.02,0.74,0.00
84.00,SVR-H,ratio-diff-signed,5.00,50.00,0.04,0.01,0.05,0.02,-1.00,1.00,-0.33,0.00,0.01,0.02,0.04,0.20,0.58,3.10,0.02,0.17,0.00,15.24,0.16,3.90,0.02,0.74,0.00
85.00,SVR-H,intersection_union_sample,5.00,50.00,0.33,0.01,0.45,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.94,1.00,1.00,3.10,0.02,0.17,0.00,15.24,0.16,3.90,0.02,0.74,0.00
86.00,SVR-H,intersection_union_all,5.00,50.00,0.29,NA,0.00,0.29,0.28,0.31,0.28,0.29,0.29,0.29,0.30,0.30,0.30,3.10,0.02,0.17,0.00,15.24,0.16,3.90,0.02,0.74,0.00
87.00,SVR-H,negative_incon,5.00,50.00,0.03,0.01,0.67,-0.47,-0.50,1.00,-0.50,-0.50,-0.49,-0.47,0.94,1.00,1.00,3.10,0.02,0.17,0.00,15.24,0.16,3.90,0.02,0.74,0.00
88.00,SVR-H,positive_incon,5.00,50.00,4.76,0.03,3.36,4.15,0.00,16.65,0.07,0.27,1.78,4.15,7.76,9.98,12.86,3.10,0.02,0.17,0.00,15.24,0.16,3.90,0.02,0.74,0.00
89.00,SVR-H,intersection_union_distance,5.00,50.00,3.39,0.04,3.69,1.89,0.00,16.65,0.00,0.02,0.12,1.89,6.44,9.95,12.16,3.10,0.02,0.17,0.00,15.24,0.16,3.90,0.02,0.74,0.00
90.00,SVR,ratio,5.00,50.00,0.89,0.02,0.13,0.95,0.00,1.00,0.14,0.51,0.88,0.95,0.98,1.00,1.00,2.97,0.03,0.17,0.00,14.54,0.27,3.81,0.03,0.75,0.00
91.00,SVR,ratio-diff,5.00,50.00,0.07,0.02,0.10,0.02,0.00,1.00,0.00,0.00,0.01,0.02,0.07,0.32,0.76,2.97,0.03,0.17,0.00,14.54,0.27,3.81,0.03,0.75,0.00
92.00,SVR,ratio-signed,5.00,50.00,0.87,0.03,0.18,0.95,-1.00,1.00,-0.31,0.47,0.87,0.95,0.98,1.00,1.00,2.97,0.03,0.17,0.00,14.54,0.27,3.81,0.03,0.75,0.00
93.00,SVR,ratio-diff-signed,5.00,50.00,0.05,0.01,0.06,0.02,-1.00,1.00,-0.45,0.00,0.01,0.02,0.06,0.27,0.64,2.97,0.03,0.17,0.00,14.54,0.27,3.81,0.03,0.75,0.00
94.00,SVR,intersection_union_sample,5.00,50.00,0.30,0.01,0.42,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.88,0.99,1.00,2.97,0.03,0.17,0.00,14.54,0.27,3.81,0.03,0.75,0.00
95.00,SVR,intersection_union_all,5.00,50.00,0.27,NA,0.00,0.27,0.26,0.29,0.26,0.27,0.27,0.27,0.28,0.28,0.28,2.97,0.03,0.17,0.00,14.54,0.27,3.81,0.03,0.75,0.00
96.00,SVR,negative_incon,5.00,50.00,-0.01,0.01,0.64,-0.47,-0.50,1.00,-0.50,-0.50,-0.49,-0.47,0.88,0.99,1.00,2.97,0.03,0.17,0.00,14.54,0.27,3.81,0.03,0.75,0.00
97.00,SVR,positive_incon,5.00,50.00,4.61,0.04,3.20,4.26,0.00,17.25,0.09,0.32,1.73,4.26,7.32,9.65,12.19,2.97,0.03,0.17,0.00,14.54,0.27,3.81,0.03,0.75,0.00
98.00,SVR,intersection_union_distance,5.00,50.00,3.38,0.05,3.38,2.69,0.00,17.25,0.00,0.03,0.21,2.69,5.86,9.46,12.10,2.97,0.03,0.17,0.00,14.54,0.27,3.81,0.03,0.75,0.00
